collateral_id,exposure_id,bank_id,counterparty_id,collateral_type,country,valuation_amount_meur,market_value_meur,epc_rating,flood_zone_class,flood_risk_score,physical_risk_score,exposure_amount_meur,property_type,ltv_pct,year_built,floor_area_sqm,valuation_date,market_value_at_origination_meur,building_emissions_tco2e,postcode
COL00168,EXP000446,BANK04,CP00224,real_estate,FR,111.97,111.97,C,very_high,,4,60.71,warehouse,54.2,2010,6566,2024-09-12,100.16,58.04,15165
COL00169,EXP000448,BANK04,CP00225,real_estate,FR,18.06,18.06,C,high,,3,11.68,retail,64.7,1993,21697,2024-08-13,23.25,191.8,80783
COL00170,EXP000449,BANK04,CP00225,real_estate,ES,26.57,26.57,A,very_high,,5,14.72,residential_multi,55.4,1991,12730,2023-01-18,23.64,92.29,24527
COL00171,EXP000458,BANK04,CP00229,real_estate,FR,1.84,1.84,B,low,,1,1.11,office,60.3,2007,15823,2024-07-30,1.83,82.28,56646
COL00172,EXP000459,BANK04,CP00230,real_estate,DE,68.11,68.11,A,high,,3,31.27,logistics,45.9,1981,7005,2024-05-16,46.71,133.09,55506
COL00173,EXP000461,BANK04,CP00230,real_estate,AT,26.34,26.34,B,medium,,2,15.26,mixed_use,57.9,1989,2131,2024-05-20,25.41,23.44,52469
COL00174,EXP000464,BANK04,CP00232,real_estate,BE,2.57,2.57,B,high,,3,1.93,industrial,75.1,2012,382,2023-10-02,3.69,6.49,34302
COL00175,EXP000467,BANK04,CP00233,real_estate,ES,1042.61,1042.61,A,very_high,,4,689.48,logistics,66.1,2021,17056,2024-07-22,1005.42,123.66,51339
COL00176,EXP000469,BANK04,CP00234,real_estate,DE,133.19,133.19,A,high,,3,97.24,logistics,73.0,1961,5511,2024-06-16,192.48,104.71,19891
COL00177,EXP000470,BANK04,CP00235,real_estate,IT,115.84,115.84,B,high,,3,86.76,office,74.9,1981,20718,2024-06-21,137.59,563.53,05792
COL00178,EXP000473,BANK04,CP00237,real_estate,PL,9.46,9.46,B,high,,3,6.73,retail,71.1,1994,17320,2023-11-27,10.01,1125.8,64673
COL00179,EXP000475,BANK04,CP00238,real_estate,BE,48.62,48.62,C,medium,,2,31.14,industrial,64.0,2007,17219,2024-09-11,48.48,497.63,91975
COL00180,EXP000476,BANK04,CP00239,real_estate,PT,9.76,9.76,F,high,,3,5.01,logistics,51.3,1977,5581,2024-06-20,10.78,627.86,60668
COL00181,EXP000478,BANK04,CP00241,real_estate,DE,53.54,53.54,A,medium,,2,37.3,industrial,69.7,1960,10418,2024-12-19,57.61,197.94,28568
COL00182,EXP000480,BANK04,CP00241,real_estate,NL,88.43,88.43,A,high,,3,47.48,office,53.7,1968,11683,2024-10-13,93.48,175.25,4385 LM
COL00183,EXP000481,BANK04,CP00241,real_estate,PT,30.23,30.23,C,medium,,2,19.54,industrial,64.6,2014,19351,2023-11-10,29.32,822.42,23889
COL00184,EXP000490,BANK04,CP00249,real_estate,FR,675.1,675.1,B,low,,1,344.86,office,51.1,1993,18670,2023-04-15,641.09,97.08,21567
COL00185,EXP000491,BANK04,CP00249,real_estate,IE,209.69,209.69,C,high,,3,131.29,residential_multi,62.6,1995,24358,2024-09-22,173.58,1200.85,20869
COL00186,EXP000493,BANK04,CP00250,real_estate,FR,95.69,95.69,A,high,,3,63.43,mixed_use,66.3,1978,4896,2023-06-18,91.76,12.73,52643
COL00187,EXP000495,BANK04,CP00250,real_estate,IE,98.21,98.21,A,medium,,2,69.0,office,70.3,2014,21985,2024-04-28,109.26,318.78,27248
COL00188,EXP000497,BANK04,CP00251,real_estate,IE,23.24,23.24,A,very_high,,4,14.05,warehouse,60.5,2020,11832,2023-11-16,21.8,171.56,28918
COL00189,EXP000498,BANK04,CP00251,real_estate,PL,37.04,37.04,A,very_high,,4,18.0,warehouse,48.6,1995,23509,2023-05-27,25.98,764.04,20332
COL00190,EXP000500,BANK04,CP00252,real_estate,FI,264.74,264.74,D,very_high,,4,188.0,logistics,71.0,2004,6033,2023-01-26,312.58,377.06,57628
COL00191,EXP000503,BANK04,CP00254,real_estate,PL,128.74,128.74,B,medium,,2,71.37,warehouse,55.4,1984,12732,2024-01-19,154.4,827.58,84412
COL00192,EXP000505,BANK05,CP00256,real_estate,NL,132.55,132.55,D,very_high,,5,89.84,warehouse,67.8,2002,3283,2024-01-13,132.98,246.22,6617 VB
COL00193,EXP000506,BANK05,CP00257,real_estate,FR,93.02,93.02,A,very_high,,5,69.93,retail,75.2,2021,13251,2023-02-14,115.34,34.45,83920
COL00194,EXP000509,BANK05,CP00258,real_estate,FI,5.8,5.8,B,high,,3,2.84,warehouse,49.0,2020,20108,2024-10-09,4.51,502.7,90680
COL00195,EXP000510,BANK05,CP00259,real_estate,IE,3.54,3.54,F,high,,3,1.79,logistics,50.6,1964,12308,2023-01-30,3.08,1606.19,85856
COL00196,EXP000521,BANK05,CP00263,real_estate,PT,6.36,6.36,F,high,,3,3.79,office,59.6,1967,14728,2024-10-14,6.3,1656.9,92272
COL00197,EXP000522,BANK05,CP00263,real_estate,FR,2.25,2.25,F,very_high,,4,1.03,retail,45.8,1962,11100,2024-11-19,1.59,259.74,45538
COL00198,EXP000526,BANK05,CP00265,real_estate,IT,14.74,14.74,E,high,,3,7.56,warehouse,51.3,1961,21974,2024-02-17,10.33,2032.16,68772
COL00199,EXP000528,BANK05,CP00266,real_estate,AT,11.63,11.63,C,low,,1,6.64,mixed_use,57.1,1970,5855,2024-03-30,11.87,109.49,18850
COL00200,EXP000532,BANK05,CP00267,real_estate,DE,6.0,6.0,E,low,,1,2.92,mixed_use,48.7,1995,18568,2023-12-26,4.39,2398.99,30179
COL00201,EXP000533,BANK05,CP00267,real_estate,ES,6.1,6.1,F,high,,3,3.37,office,55.2,1974,3167,2023-07-06,6.95,206.65,26979
COL00202,EXP000534,BANK05,CP00268,real_estate,IE,19.94,19.94,E,high,,3,10.02,office,50.3,1987,21104,2024-01-19,21.26,2080.85,60256
COL00203,EXP000540,BANK05,CP00270,real_estate,AT,690.53,690.53,E,medium,,2,469.12,mixed_use,67.9,1976,10374,2023-02-24,684.79,387.99,57692
COL00204,EXP000542,BANK05,CP00271,real_estate,FR,1.31,1.31,D,medium,,2,0.83,warehouse,63.4,1984,9139,2023-07-24,1.25,118.81,34708
COL00205,EXP000543,BANK05,CP00272,real_estate,IT,36.28,36.28,E,high,,3,26.23,retail,72.3,2006,11631,2024-10-19,36.37,1075.63,04105
COL00206,EXP000547,BANK05,CP00273,real_estate,NL,591.48,591.48,G,medium,,2,359.1,warehouse,60.7,1986,23209,2024-03-20,577.92,4177.62,9727 TM
COL00207,EXP000551,BANK05,CP00275,real_estate,AT,271.07,271.07,E,very_high,,4,150.89,warehouse,55.7,1994,3173,2024-06-09,239.78,118.67,78874
COL00208,EXP000554,BANK05,CP00276,real_estate,ES,163.41,163.41,E,high,,3,76.73,office,47.0,1983,15771,2023-05-24,117.99,777.51,50249
COL00209,EXP000555,BANK05,CP00276,real_estate,DE,426.16,426.16,E,very_high,,4,232.93,logistics,54.7,1973,20826,2024-01-03,347.53,2690.72,49085
COL00210,EXP000556,BANK05,CP00277,real_estate,FI,4.63,4.63,D,medium,,2,2.89,retail,62.4,1983,11931,2023-11-10,4.26,745.69,74513
COL00211,EXP000557,BANK05,CP00277,real_estate,ES,8.17,8.17,F,high,,3,4.03,residential_multi,49.3,2015,24151,2024-02-13,6.28,1575.85,39551
COL00212,EXP000559,BANK05,CP00278,real_estate,BE,9.4,9.4,F,very_high,,4,5.86,warehouse,62.3,1998,1514,2023-08-28,9.77,115.82,75038
COL00213,EXP000562,BANK05,CP00281,real_estate,NL,14.73,14.73,D,medium,,2,9.55,mixed_use,64.8,1963,5574,2024-06-08,15.03,418.05,2182 SW
COL00214,EXP000563,BANK05,CP00282,real_estate,FR,552.4,552.4,E,medium,,2,257.1,logistics,46.5,1977,4456,2024-11-10,489.14,78.78,10661
COL00215,EXP000569,BANK05,CP00283,real_estate,IT,1.37,1.37,F,low,,1,0.85,mixed_use,62.0,2018,227,2024-11-05,1.76,27.78,75914
COL00216,EXP000572,BANK05,CP00286,real_estate,ES,118.25,118.25,B,high,,3,57.07,industrial,48.3,1991,5250,2024-12-02,96.17,76.12,40804
COL00217,EXP000574,BANK05,CP00286,real_estate,BE,96.67,96.67,C,medium,,2,56.08,office,58.0,1987,15676,2024-11-15,92.57,453.04,97561
COL00218,EXP000575,BANK05,CP00286,real_estate,IT,55.43,55.43,C,very_high,,4,33.62,office,60.7,1977,13303,2023-12-01,53.85,615.13,05876
COL00219,EXP000580,BANK05,CP00290,real_estate,BE,12.37,12.37,D,medium,,2,7.67,office,62.0,1963,7464,2024-09-15,13.09,317.22,14184
COL00220,EXP000583,BANK05,CP00291,real_estate,NL,2.37,2.37,D,medium,,2,1.16,warehouse,48.9,2010,2731,2024-10-23,2.0,204.82,8704 JX
COL00221,EXP000584,BANK05,CP00291,real_estate,IT,3.05,3.05,B,medium,,2,1.8,retail,59.0,1983,14149,2023-06-04,3.2,384.85,27457
COL00222,EXP000585,BANK05,CP00292,real_estate,PL,1132.71,1132.71,F,high,,3,737.96,office,65.1,1982,5558,2024-02-12,1229.33,1625.71,44531
COL00223,EXP000587,BANK05,CP00293,real_estate,BE,208.83,208.83,B,medium,,2,106.58,logistics,51.0,2011,600,2023-06-14,158.89,10.2,61433
COL00224,EXP000592,BANK05,CP00295,real_estate,BE,5.42,5.42,D,high,,3,2.87,residential_multi,53.0,2014,1986,2023-11-07,4.7,84.41,56228
COL00225,EXP000594,BANK05,CP00296,real_estate,IE,21.81,21.81,F,low,,1,12.45,residential_multi,57.1,2002,17731,2024-01-09,24.03,2313.9,81352
COL00226,EXP000597,BANK05,CP00298,real_estate,BE,1.55,1.55,D,very_high,,5,0.94,mixed_use,60.6,1979,427,2023-12-12,1.43,18.15,94618
COL00227,EXP000600,BANK05,CP00299,real_estate,ES,6.18,6.18,E,low,,1,3.16,warehouse,51.1,1966,15429,2023-10-16,5.41,760.65,21474
COL00228,EXP000602,BANK05,CP00300,real_estate,FR,4.14,4.14,B,very_high,,4,2.16,warehouse,52.2,2003,22318,2023-10-31,3.28,116.05,78437
