travel_id,bank_id,travel_date,emissions_kg_co2e,reporting_year,travel_mode,distance_km,emissions_tco2e,employee_id_hash,emission_factor_kg_co2e_per_km,purpose
TR000324,BANK01,2024-10-08,32.3,,rail,789,,EMP41834,0.041,internal_meeting
TR000325,BANK01,2024-01-23,51.3,,car,300,,EMP22109,0.171,conference
TR000326,BANK01,2024-06-14,107.9,,air_short,423,,EMP05072,0.255,conference
TR000327,BANK01,2024-12-29,77.6,,car,454,,EMP08910,0.171,audit
TR000328,BANK01,2024-04-04,120.9,,car,707,,EMP23188,0.171,conference
TR000329,BANK01,2024-08-02,684.8,,air_long,4565,,EMP14053,0.15,audit
TR000330,BANK01,2024-01-22,280.8,,air_short,1101,,EMP19066,0.255,conference
TR000331,BANK01,2024-08-20,100.5,,car,588,,EMP44952,0.171,client_meeting
TR000332,BANK01,2024-01-06,42.6,,car,249,,EMP40575,0.171,audit
TR000333,BANK01,2024-07-19,68.2,,car,399,,EMP43579,0.171,internal_meeting
TR000334,BANK01,2024-11-29,817.6,,air_long,5451,,EMP11618,0.15,training
TR000335,BANK01,2024-11-15,1239.1,,air_long,8261,,EMP29419,0.15,audit
TR000336,BANK01,2024-03-27,18.5,,rail,451,,EMP15142,0.041,conference
TR000337,BANK01,2024-11-01,137.7,,air_short,540,,EMP10006,0.255,internal_meeting
TR000338,BANK01,2024-01-20,376.6,,air_short,1477,,EMP16773,0.255,client_meeting
TR000339,BANK01,2024-05-29,206.3,,air_short,809,,EMP24106,0.255,internal_meeting
TR000340,BANK01,2024-11-03,37.8,,rail,922,,EMP23659,0.041,training
TR000341,BANK01,2024-03-29,295.5,,air_long,1970,,EMP37617,0.15,training
TR000342,BANK01,2024-05-03,38.6,,rail,941,,EMP34292,0.041,conference
TR000343,BANK01,2024-05-23,121.9,,car,713,,EMP01119,0.171,training
TR000344,BANK01,2024-09-12,830.5,,air_long,5537,,EMP00893,0.15,conference
TR000345,BANK01,2024-03-15,28.7,,car,168,,EMP29085,0.171,client_meeting
TR000346,BANK01,2024-12-27,23.1,,rail,564,,EMP38507,0.041,audit
TR000347,BANK01,2024-12-10,177.2,,air_short,695,,EMP24561,0.255,conference
TR000348,BANK01,2024-06-08,13.8,,rail,336,,EMP05466,0.041,conference
TR000349,BANK01,2024-08-10,180.8,,air_short,709,,EMP00468,0.255,internal_meeting
TR000350,BANK01,2024-05-21,22.1,,car,129,,EMP25411,0.171,internal_meeting
TR000351,BANK01,2024-07-13,23.1,,rail,564,,EMP07666,0.041,client_meeting
TR000352,BANK01,2024-02-02,363.4,,air_short,1425,,EMP00512,0.255,conference
TR000353,BANK01,2024-05-08,310.8,,air_short,1219,,EMP30482,0.255,client_meeting
TR000354,BANK01,2024-02-07,133.9,,air_short,525,,EMP36313,0.255,audit
TR000355,BANK01,2024-04-29,80.7,,car,472,,EMP28900,0.171,training
TR000356,BANK01,2024-02-14,294.3,,air_short,1154,,EMP24189,0.255,conference
TR000357,BANK01,2024-05-02,19.4,,rail,472,,EMP07172,0.041,client_meeting
TR000358,BANK01,2024-02-20,173.4,,air_short,680,,EMP31388,0.255,client_meeting
TR000359,BANK01,2024-05-30,1137.3,,air_long,7582,,EMP11045,0.15,audit
TR000360,BANK01,2024-05-27,177.2,,air_short,695,,EMP29085,0.255,client_meeting
TR000361,BANK01,2024-09-12,34.9,,rail,852,,EMP05601,0.041,training
TR000362,BANK01,2024-11-12,143.6,,air_short,563,,EMP40898,0.255,conference
TR000363,BANK01,2024-09-26,37.1,,rail,906,,EMP20704,0.041,conference
TR000364,BANK01,2024-02-29,112.7,,car,659,,EMP46806,0.171,conference
TR000365,BANK01,2024-02-24,25.0,,rail,610,,EMP31284,0.041,training
TR000366,BANK01,2024-05-14,53.7,,car,314,,EMP10649,0.171,client_meeting
TR000367,BANK01,2024-08-13,337.9,,air_short,1325,,EMP27294,0.255,internal_meeting
TR000368,BANK01,2024-05-15,182.8,,air_short,717,,EMP46790,0.255,client_meeting
TR000369,BANK01,2024-06-13,38.5,,rail,939,,EMP39133,0.041,training
TR000370,BANK01,2024-08-31,103.5,,car,605,,EMP23062,0.171,client_meeting
TR000371,BANK01,2024-09-09,80.3,,air_short,315,,EMP05949,0.255,conference
TR000372,BANK01,2024-04-15,76.3,,car,446,,EMP06834,0.171,client_meeting
TR000373,BANK01,2024-02-16,142.0,,air_short,557,,EMP14527,0.255,audit
TR000374,BANK01,2024-06-11,17.7,,rail,432,,EMP16017,0.041,conference
TR000375,BANK01,2024-01-16,39.5,,rail,964,,EMP00801,0.041,client_meeting
TR000376,BANK01,2024-01-30,15.0,,rail,365,,EMP47370,0.041,conference
TR000377,BANK01,2024-08-03,28.5,,rail,695,,EMP08060,0.041,training
TR000378,BANK01,2024-08-30,166.5,,air_short,653,,EMP16612,0.255,training
TR000379,BANK01,2024-03-15,56.6,,car,331,,EMP34615,0.171,internal_meeting
TR000380,BANK01,2024-02-07,108.9,,air_short,427,,EMP08277,0.255,client_meeting
TR000381,BANK01,2024-09-22,546.4,,air_long,3643,,EMP14701,0.15,audit
TR000382,BANK01,2024-05-01,32.5,,rail,792,,EMP09753,0.041,training
TR000383,BANK01,2024-09-10,34.2,,car,200,,EMP04236,0.171,training
TR000384,BANK01,2024-05-18,456.3,,air_long,3042,,EMP28388,0.15,audit
TR000385,BANK01,2024-05-27,6.9,,rail,169,,EMP42309,0.041,client_meeting
TR000386,BANK01,2024-12-11,187.7,,air_short,736,,EMP42065,0.255,training
TR000387,BANK01,2024-09-11,12.9,,rail,315,,EMP00779,0.041,audit
TR000388,BANK01,2024-10-22,44.7,,rail,1090,,EMP28065,0.041,training
TR000389,BANK01,2024-04-26,290.7,,air_long,1938,,EMP34531,0.15,client_meeting
TR000390,BANK01,2024-09-07,244.8,,air_short,960,,EMP18579,0.255,training
TR000391,BANK01,2024-07-09,131.3,,car,768,,EMP14608,0.171,audit
TR000392,BANK01,2024-12-06,1157.7,,air_long,7718,,EMP06146,0.15,conference
TR000393,BANK01,2024-12-06,416.8,,air_long,2779,,EMP05014,0.15,conference
TR000394,BANK01,2024-04-19,25.4,,rail,620,,EMP36931,0.041,conference
TR000395,BANK01,2024-10-12,136.7,,air_short,536,,EMP26073,0.255,audit
TR000396,BANK01,2024-03-27,5.6,,rail,136,,EMP23493,0.041,audit
TR000397,BANK01,2024-03-19,261.4,,air_short,1025,,EMP37390,0.255,audit
TR000398,BANK01,2024-09-15,215.7,,air_short,846,,EMP26098,0.255,client_meeting
TR000399,BANK01,2024-08-06,1135.5,,air_long,7570,,EMP05044,0.15,client_meeting
TR000400,BANK01,2024-11-21,257.3,,air_short,1009,,EMP45220,0.255,conference
TR000401,BANK01,2024-12-01,331.2,,air_short,1299,,EMP34914,0.255,client_meeting
TR000402,BANK01,2024-03-01,334.3,,air_long,2229,,EMP43762,0.15,conference
TR000403,BANK01,2024-03-23,105.5,,car,617,,EMP09734,0.171,internal_meeting
TR000404,BANK01,2024-09-12,118.8,,air_short,466,,EMP31854,0.255,internal_meeting
TR000405,BANK01,2024-08-05,188.2,,air_short,738,,EMP08080,0.255,internal_meeting
TR000406,BANK01,2024-03-30,11.8,,rail,288,,EMP18303,0.041,conference
TR000407,BANK01,2024-11-29,16.2,,rail,394,,EMP20680,0.041,conference
TR000408,BANK01,2024-12-12,332.3,,air_short,1303,,EMP06635,0.255,training
TR000409,BANK01,2024-08-12,25.3,,rail,617,,EMP02274,0.041,audit
TR000410,BANK01,2024-09-17,327.7,,air_short,1285,,EMP42565,0.255,conference
TR000411,BANK01,2024-06-17,226.4,,air_short,888,,EMP43419,0.255,audit
TR000412,BANK01,2024-07-02,248.6,,air_short,975,,EMP23865,0.255,audit
TR000413,BANK01,2024-09-07,710.7,,air_long,4738,,EMP11937,0.15,internal_meeting
TR000414,BANK01,2024-11-16,782.5,,air_long,5217,,EMP34117,0.15,client_meeting
TR000415,BANK01,2024-06-13,381.8,,air_long,2545,,EMP15687,0.15,client_meeting
TR000416,BANK01,2024-01-16,114.8,,air_short,450,,EMP07007,0.255,conference
TR000417,BANK01,2024-07-26,271.1,,air_short,1063,,EMP17049,0.255,audit
TR000418,BANK01,2024-02-23,350.6,,air_short,1375,,EMP47953,0.255,internal_meeting
TR000419,BANK01,2024-10-12,142.3,,air_short,558,,EMP02188,0.255,conference
TR000420,BANK01,2024-01-31,31.1,,rail,758,,EMP31098,0.041,audit
TR000421,BANK01,2024-01-07,381.7,,air_short,1497,,EMP31460,0.255,audit
TR000422,BANK01,2024-09-02,99.4,,car,581,,EMP13442,0.171,audit
TR000423,BANK01,2024-03-12,194.1,,air_short,761,,EMP12177,0.255,conference
TR000424,BANK01,2024-07-09,21.6,,rail,528,,EMP04431,0.041,client_meeting
TR000425,BANK01,2024-11-02,29.4,,rail,717,,EMP46817,0.041,audit
TR000426,BANK01,2024-11-22,4.3,,rail,106,,EMP29116,0.041,training
TR000427,BANK01,2024-02-19,103.6,,car,606,,EMP08081,0.171,internal_meeting
TR000428,BANK01,2024-07-21,25.1,,rail,612,,EMP17471,0.041,internal_meeting
TR000429,BANK01,2024-09-06,267.8,,air_short,1050,,EMP28812,0.255,client_meeting
TR000430,BANK01,2024-09-22,197.9,,air_short,776,,EMP33273,0.255,internal_meeting
TR000431,BANK01,2024-09-18,125.3,,car,733,,EMP08148,0.171,client_meeting
TR000432,BANK01,2024-01-30,23.6,,rail,575,,EMP21104,0.041,internal_meeting
TR000433,BANK01,2024-10-10,45.4,,rail,1107,,EMP38769,0.041,internal_meeting
TR000434,BANK01,2024-02-05,46.9,,car,274,,EMP30442,0.171,training
TR000435,BANK01,2024-01-18,348.1,,air_long,2321,,EMP14180,0.15,conference
TR000436,BANK01,2024-02-01,39.0,,rail,952,,EMP32337,0.041,conference
TR000437,BANK01,2024-08-08,198.1,,air_short,777,,EMP04528,0.255,client_meeting
TR000438,BANK01,2024-05-05,13.0,,car,76,,EMP38992,0.171,conference
TR000439,BANK01,2024-01-30,135.9,,air_short,533,,EMP44904,0.255,internal_meeting
TR000440,BANK01,2024-10-19,798.1,,air_long,5321,,EMP31828,0.15,internal_meeting
TR000441,BANK01,2024-05-26,127.2,,air_short,499,,EMP00955,0.255,training
TR000442,BANK01,2024-04-03,810.9,,air_long,5406,,EMP25635,0.15,training
TR000443,BANK01,2024-05-18,381.0,,air_long,2540,,EMP36627,0.15,conference
TR000444,BANK01,2024-06-17,264.4,,air_short,1037,,EMP27827,0.255,internal_meeting
TR000445,BANK01,2024-11-15,22.5,,rail,548,,EMP28912,0.041,client_meeting
TR000446,BANK01,2024-09-01,311.6,,air_short,1222,,EMP22649,0.255,audit
TR000447,BANK01,2024-12-25,23.7,,rail,579,,EMP45569,0.041,training
TR000448,BANK01,2024-05-22,357.0,,air_short,1400,,EMP17240,0.255,training
TR000449,BANK01,2024-05-14,1139.2,,air_long,7595,,EMP29312,0.15,training
TR000450,BANK01,2024-07-04,18.1,,car,106,,EMP41671,0.171,client_meeting
TR000451,BANK01,2024-05-23,81.9,,car,479,,EMP31743,0.171,client_meeting
TR000452,BANK01,2024-11-26,13.9,,rail,339,,EMP25793,0.041,conference
TR000453,BANK01,2024-05-11,6.1,,rail,149,,EMP14686,0.041,client_meeting
TR000454,BANK01,2024-09-02,93.8,,air_short,368,,EMP41293,0.255,client_meeting
TR000455,BANK01,2024-06-07,26.9,,rail,656,,EMP23551,0.041,audit
TR000456,BANK01,2024-01-12,102.0,,air_short,400,,EMP02452,0.255,training
TR000457,BANK01,2024-08-24,34.2,,rail,834,,EMP40847,0.041,conference
TR000458,BANK01,2024-03-28,588.3,,air_long,3922,,EMP23004,0.15,training
TR000459,BANK01,2024-08-05,1325.0,,air_long,8833,,EMP25973,0.15,internal_meeting
TR000460,BANK01,2024-01-21,296.8,,air_short,1164,,EMP34757,0.255,conference
TR000461,BANK01,2024-12-07,46.7,,rail,1138,,EMP11183,0.041,client_meeting
TR000462,BANK01,2024-07-09,18.9,,rail,462,,EMP43115,0.041,client_meeting
TR000463,BANK01,2024-06-06,31.8,,rail,775,,EMP01475,0.041,internal_meeting
TR000464,BANK01,2024-02-06,87.7,,air_short,344,,EMP16825,0.255,conference
TR000465,BANK01,2024-07-17,44.7,,rail,1091,,EMP43340,0.041,internal_meeting
TR000466,BANK01,2024-03-21,129.4,,car,757,,EMP14989,0.171,internal_meeting
TR000467,BANK01,2024-07-04,315.9,,air_short,1239,,EMP10628,0.255,training
TR000468,BANK01,2024-05-22,53.0,,car,310,,EMP19171,0.171,conference
TR000469,BANK01,2024-05-08,46.5,,rail,1134,,EMP11798,0.041,training
TR000470,BANK01,2024-02-15,359.6,,air_short,1410,,EMP04412,0.255,internal_meeting
TR000471,BANK01,2024-10-31,94.7,,car,554,,EMP46687,0.171,internal_meeting
TR000472,BANK01,2024-05-16,31.3,,rail,764,,EMP06051,0.041,training
TR000473,BANK01,2024-12-04,9.4,,car,55,,EMP37647,0.171,training
TR000474,BANK01,2024-03-20,538.4,,air_long,3589,,EMP38014,0.15,training
TR000475,BANK01,2024-05-04,5.6,,rail,137,,EMP31234,0.041,conference
TR000476,BANK01,2024-04-15,738.6,,air_long,4924,,EMP30804,0.15,conference
TR000477,BANK01,2024-02-27,529.9,,air_long,3533,,EMP22978,0.15,audit
TR000478,BANK01,2024-10-02,357.3,,air_short,1401,,EMP08310,0.255,audit
TR000479,BANK01,2024-12-21,759.8,,air_long,5065,,EMP27860,0.15,conference
TR000480,BANK01,2024-07-05,14.2,,rail,346,,EMP12434,0.041,internal_meeting
TR000481,BANK01,2024-11-28,379.9,,air_long,2533,,EMP43111,0.15,audit
TR000482,BANK01,2024-06-30,310.6,,air_short,1218,,EMP34797,0.255,conference
TR000483,BANK01,2024-07-10,13.9,,rail,339,,EMP41180,0.041,conference
TR000484,BANK01,2024-12-04,39.0,,rail,951,,EMP03042,0.041,training
TR000485,BANK01,2024-01-18,27.9,,car,163,,EMP17806,0.171,training
TR000486,BANK01,2024-12-22,15.4,,rail,376,,EMP01198,0.041,client_meeting
TR000487,BANK01,2024-11-13,223.6,,air_short,877,,EMP41937,0.255,audit
TR000488,BANK01,2024-07-18,31.6,,car,185,,EMP24262,0.171,internal_meeting
TR000489,BANK01,2024-06-21,1142.0,,air_long,7613,,EMP22062,0.15,conference
TR000490,BANK01,2024-05-19,483.6,,air_long,3224,,EMP45210,0.15,internal_meeting
TR000491,BANK01,2024-12-17,250.7,,air_short,983,,EMP00647,0.255,conference
TR000492,BANK01,2024-12-22,321.8,,air_short,1262,,EMP46320,0.255,internal_meeting
TR000493,BANK01,2024-01-31,626.7,,air_long,4178,,EMP32636,0.15,audit
TR000494,BANK01,2024-07-25,17.3,,rail,422,,EMP27944,0.041,client_meeting
TR000495,BANK01,2024-08-25,297.6,,air_short,1167,,EMP12282,0.255,conference
TR000496,BANK01,2024-05-26,18.6,,rail,453,,EMP39326,0.041,internal_meeting
TR000497,BANK01,2024-02-22,44.6,,rail,1087,,EMP26091,0.041,conference
TR000498,BANK01,2024-05-11,326.1,,air_short,1279,,EMP34440,0.255,internal_meeting
TR000499,BANK01,2024-10-27,131.8,,air_short,517,,EMP04236,0.255,client_meeting
TR000500,BANK01,2024-08-29,940.0,,air_long,6267,,EMP44997,0.15,internal_meeting
TR000501,BANK01,2024-11-06,168.3,,air_short,660,,EMP25441,0.255,client_meeting
TR000502,BANK01,2024-09-17,325.1,,air_short,1275,,EMP40953,0.255,internal_meeting
TR000503,BANK01,2024-02-02,326.1,,air_short,1279,,EMP34334,0.255,internal_meeting
TR000504,BANK01,2024-09-02,237.2,,air_short,930,,EMP13665,0.255,training
TR000505,BANK01,2024-05-24,302.2,,air_short,1185,,EMP40863,0.255,client_meeting
TR000506,BANK01,2024-11-23,35.9,,rail,876,,EMP37829,0.041,training
TR000507,BANK01,2024-08-03,108.8,,car,636,,EMP19696,0.171,training
TR000508,BANK01,2024-11-02,111.9,,air_short,439,,EMP30288,0.255,client_meeting
TR000509,BANK01,2024-11-30,262.9,,air_short,1031,,EMP05382,0.255,internal_meeting
TR000510,BANK01,2024-07-07,174.9,,air_short,686,,EMP03904,0.255,audit
TR000511,BANK01,2024-05-09,121.6,,car,711,,EMP37989,0.171,internal_meeting
TR000512,BANK01,2024-04-16,228.0,,air_short,894,,EMP44281,0.255,conference
TR000513,BANK01,2024-06-02,226.2,,air_short,887,,EMP32828,0.255,conference
TR000514,BANK01,2024-11-18,326.7,,air_short,1281,,EMP36038,0.255,training
TR000515,BANK01,2024-03-10,203.5,,air_short,798,,EMP31123,0.255,client_meeting
TR000516,BANK01,2024-07-02,78.7,,car,460,,EMP10380,0.171,client_meeting
TR000517,BANK01,2024-08-15,36.1,,car,211,,EMP27822,0.171,audit
TR000518,BANK01,2024-09-18,29.7,,rail,725,,EMP46069,0.041,internal_meeting
TR000519,BANK01,2024-10-28,42.8,,rail,1044,,EMP31944,0.041,internal_meeting
TR000520,BANK01,2024-03-28,26.6,,rail,649,,EMP05195,0.041,audit
TR000521,BANK01,2024-05-11,93.9,,car,549,,EMP31466,0.171,conference
TR000522,BANK01,2024-01-10,11.1,,rail,270,,EMP19305,0.041,conference
TR000523,BANK01,2024-06-09,958.3,,air_long,6389,,EMP24963,0.15,internal_meeting
TR000524,BANK01,2024-02-08,93.5,,car,547,,EMP14445,0.171,audit
TR000525,BANK01,2024-12-26,85.9,,air_short,337,,EMP05079,0.255,client_meeting
TR000526,BANK01,2024-05-23,921.4,,air_long,6143,,EMP39004,0.15,internal_meeting
TR000527,BANK01,2024-07-05,8.8,,rail,215,,EMP27679,0.041,conference
TR000528,BANK01,2024-06-11,582.6,,air_long,3884,,EMP23436,0.15,client_meeting
TR000529,BANK01,2024-02-10,185.9,,air_short,729,,EMP43367,0.255,client_meeting
TR000530,BANK01,2024-08-14,73.2,,car,428,,EMP25931,0.171,internal_meeting
TR000531,BANK01,2024-12-21,92.0,,car,538,,EMP03771,0.171,client_meeting
TR000532,BANK01,2024-04-07,42.8,,rail,1044,,EMP37174,0.041,client_meeting
TR000533,BANK01,2024-04-29,13.3,,car,78,,EMP32747,0.171,client_meeting
TR000534,BANK01,2024-04-19,130.6,,air_short,512,,EMP29698,0.255,internal_meeting
TR000535,BANK01,2024-02-20,23.1,,car,135,,EMP00374,0.171,training
TR000536,BANK01,2024-03-21,10.5,,rail,257,,EMP40409,0.041,internal_meeting
TR000537,BANK01,2024-04-16,81.2,,car,475,,EMP05069,0.171,audit
TR000538,BANK01,2024-03-28,1265.1,,air_long,8434,,EMP03474,0.15,training
TR000539,BANK01,2024-01-22,103.5,,car,605,,EMP47309,0.171,training
TR000540,BANK01,2024-06-22,14.2,,car,83,,EMP19847,0.171,client_meeting
TR000541,BANK01,2024-02-27,241.2,,air_short,946,,EMP46382,0.255,audit
TR000542,BANK01,2024-11-03,92.9,,car,543,,EMP26623,0.171,internal_meeting
TR000543,BANK01,2024-08-11,45.6,,rail,1112,,EMP39778,0.041,conference
TR000544,BANK01,2024-03-17,247.3,,air_short,970,,EMP24644,0.255,training
TR000545,BANK01,2024-06-07,1253.8,,air_long,8359,,EMP11762,0.15,conference
TR000546,BANK01,2024-09-13,124.5,,car,728,,EMP45368,0.171,conference
TR000547,BANK01,2024-03-22,25.7,,rail,628,,EMP33963,0.041,conference
TR000548,BANK01,2024-10-12,13.8,,rail,337,,EMP36816,0.041,client_meeting
TR000549,BANK01,2024-09-12,908.5,,air_long,6057,,EMP37194,0.15,training
TR000550,BANK01,2024-10-07,332.3,,air_short,1303,,EMP32238,0.255,conference
TR000551,BANK01,2024-05-28,54.4,,car,318,,EMP17750,0.171,client_meeting
TR000552,BANK01,2024-03-15,117.8,,car,689,,EMP17078,0.171,conference
TR000553,BANK01,2024-01-23,876.3,,air_long,5842,,EMP22712,0.15,client_meeting
TR000554,BANK01,2024-12-02,141.0,,air_short,553,,EMP33542,0.255,conference
TR000555,BANK01,2024-08-15,52.7,,car,308,,EMP40464,0.171,client_meeting
TR000556,BANK01,2024-12-06,209.4,,air_short,821,,EMP36926,0.255,audit
TR000557,BANK01,2024-12-03,154.5,,air_short,606,,EMP25045,0.255,audit
TR000558,BANK01,2024-05-15,81.9,,air_short,321,,EMP05100,0.255,internal_meeting
TR000559,BANK01,2024-11-01,805.4,,air_long,5369,,EMP14787,0.15,conference
TR000560,BANK01,2024-03-03,1064.4,,air_long,7096,,EMP16488,0.15,conference
TR000561,BANK01,2024-01-08,6.5,,rail,159,,EMP28340,0.041,client_meeting
TR000562,BANK01,2024-01-04,13.4,,rail,327,,EMP35186,0.041,client_meeting
TR000563,BANK01,2024-05-25,39.8,,car,233,,EMP33221,0.171,training
TR000564,BANK01,2024-09-04,304.5,,air_short,1194,,EMP28043,0.255,conference
TR000565,BANK01,2024-02-17,45.1,,rail,1099,,EMP45093,0.041,audit
TR000566,BANK01,2024-03-01,23.6,,rail,576,,EMP38417,0.041,training
TR000567,BANK01,2024-03-31,155.3,,air_short,609,,EMP29654,0.255,training
TR000568,BANK01,2024-05-23,20.5,,rail,501,,EMP30400,0.041,client_meeting
TR000569,BANK01,2024-06-25,128.8,,car,753,,EMP02946,0.171,audit
TR000570,BANK01,2024-11-17,28.1,,rail,686,,EMP30496,0.041,conference
TR000571,BANK01,2024-12-09,6.5,,rail,159,,EMP11559,0.041,internal_meeting
TR000572,BANK01,2024-04-20,287.9,,air_short,1129,,EMP34873,0.255,conference
TR000573,BANK01,2024-09-08,83.9,,air_short,329,,EMP23441,0.255,client_meeting
TR000574,BANK01,2024-11-30,18.2,,rail,444,,EMP03098,0.041,conference
TR000575,BANK01,2024-11-12,23.1,,rail,563,,EMP22089,0.041,training
TR000576,BANK01,2024-07-12,77.0,,car,450,,EMP28713,0.171,client_meeting
TR000577,BANK01,2024-07-22,411.3,,air_long,2742,,EMP35501,0.15,internal_meeting
TR000578,BANK01,2024-09-19,388.1,,air_long,2587,,EMP24623,0.15,conference
TR000579,BANK01,2024-04-01,151.7,,air_short,595,,EMP09711,0.255,training
TR000580,BANK01,2024-05-17,76.3,,car,446,,EMP40269,0.171,client_meeting
TR000581,BANK01,2024-10-13,43.0,,rail,1048,,EMP42562,0.041,conference
TR000582,BANK01,2024-03-01,119.9,,car,701,,EMP18843,0.171,client_meeting
TR000583,BANK01,2024-05-29,65.0,,car,380,,EMP35384,0.171,audit
TR000584,BANK01,2024-05-21,202.2,,air_short,793,,EMP00382,0.255,conference
TR000585,BANK01,2024-09-30,240.0,,air_short,941,,EMP46460,0.255,audit
TR000586,BANK01,2024-10-16,7.3,,rail,178,,EMP18083,0.041,internal_meeting
TR000587,BANK01,2024-01-27,574.6,,air_long,3831,,EMP40017,0.15,training
TR000588,BANK01,2024-03-05,26.2,,rail,638,,EMP00968,0.041,conference
TR000589,BANK01,2024-05-14,17.5,,rail,427,,EMP27883,0.041,training
TR000590,BANK01,2024-01-26,174.7,,air_short,685,,EMP41326,0.255,client_meeting
TR000591,BANK01,2024-09-03,66.0,,car,386,,EMP19581,0.171,internal_meeting
TR000592,BANK01,2024-04-02,103.3,,car,604,,EMP18531,0.171,conference
TR000593,BANK01,2024-06-15,276.2,,air_short,1083,,EMP32859,0.255,client_meeting
TR000594,BANK01,2024-07-08,611.7,,air_long,4078,,EMP00862,0.15,internal_meeting
TR000595,BANK01,2024-02-29,73.2,,car,428,,EMP03676,0.171,internal_meeting
TR000596,BANK01,2024-10-10,208.3,,air_short,817,,EMP28687,0.255,audit
TR000597,BANK01,2024-11-14,241.5,,air_long,1610,,EMP13649,0.15,client_meeting
TR000598,BANK01,2024-02-17,12.8,,car,75,,EMP23519,0.171,training
TR000599,BANK01,2024-11-19,88.0,,air_short,345,,EMP16928,0.255,client_meeting
TR000600,BANK01,2024-11-05,83.4,,car,488,,EMP38043,0.171,internal_meeting
TR000601,BANK01,2024-03-15,156.8,,air_short,615,,EMP40958,0.255,conference
TR000602,BANK01,2024-08-26,41.7,,rail,1017,,EMP33485,0.041,audit
TR000603,BANK01,2024-11-04,372.6,,air_short,1461,,EMP13347,0.255,client_meeting
TR000604,BANK01,2024-01-24,675.9,,air_long,4506,,EMP26966,0.15,conference
TR000605,BANK01,2024-04-15,233.8,,air_short,917,,EMP31273,0.255,audit
TR000606,BANK01,2024-10-17,102.3,,car,598,,EMP04556,0.171,internal_meeting
TR000607,BANK01,2024-06-01,41.7,,car,244,,EMP28225,0.171,internal_meeting
TR000608,BANK01,2024-06-05,23.3,,car,136,,EMP43109,0.171,training
TR000609,BANK01,2024-07-07,39.4,,rail,961,,EMP07691,0.041,client_meeting
TR000610,BANK01,2024-12-25,13.2,,rail,322,,EMP25001,0.041,internal_meeting
TR000611,BANK01,2024-10-23,41.7,,rail,1016,,EMP36084,0.041,conference
TR000612,BANK01,2024-01-05,31.0,,car,181,,EMP13008,0.171,training
TR000613,BANK01,2024-09-25,186.2,,air_short,730,,EMP33958,0.255,internal_meeting
TR000614,BANK01,2024-01-14,374.1,,air_short,1467,,EMP21260,0.255,audit
TR000615,BANK01,2024-01-13,5.5,,rail,133,,EMP00378,0.041,training
TR000616,BANK01,2024-06-04,361.6,,air_short,1418,,EMP33758,0.255,conference
TR000617,BANK01,2024-03-23,337.4,,air_short,1323,,EMP02807,0.255,conference
TR000618,BANK01,2024-07-30,340.7,,air_short,1336,,EMP13274,0.255,audit
TR000619,BANK01,2024-10-11,183.6,,air_short,720,,EMP03794,0.255,audit
TR000620,BANK01,2024-08-23,16.1,,car,94,,EMP36979,0.171,client_meeting
TR000621,BANK01,2024-09-12,379.7,,air_short,1489,,EMP30418,0.255,client_meeting
TR000622,BANK01,2024-07-21,12.4,,rail,303,,EMP45377,0.041,internal_meeting
TR000623,BANK01,2024-08-23,370.5,,air_short,1453,,EMP26462,0.255,audit
TR000624,BANK01,2024-10-20,82.6,,car,483,,EMP35681,0.171,conference
TR000625,BANK01,2024-09-25,273.9,,air_short,1074,,EMP44626,0.255,client_meeting
TR000626,BANK01,2024-03-24,63.1,,car,369,,EMP47639,0.171,training
TR000627,BANK01,2024-08-04,215.5,,air_short,845,,EMP01523,0.255,audit
TR000628,BANK01,2024-05-26,15.3,,rail,374,,EMP41373,0.041,client_meeting
TR000629,BANK01,2024-03-04,41.2,,rail,1006,,EMP14218,0.041,client_meeting
TR000630,BANK01,2024-01-03,26.3,,rail,641,,EMP47506,0.041,audit
TR000631,BANK01,2024-08-21,25.8,,rail,629,,EMP34781,0.041,audit
TR000632,BANK01,2024-05-10,48.9,,rail,1193,,EMP12609,0.041,conference
TR000633,BANK01,2024-11-20,129.6,,car,758,,EMP30007,0.171,internal_meeting
TR000634,BANK01,2024-09-15,347.7,,air_long,2318,,EMP43907,0.15,client_meeting
TR000635,BANK01,2024-06-12,1143.8,,air_long,7625,,EMP03678,0.15,audit
TR000636,BANK01,2024-01-13,47.4,,car,277,,EMP41966,0.171,audit
TR000637,BANK01,2024-03-29,235.5,,air_long,1570,,EMP34344,0.15,training
TR000638,BANK01,2024-09-26,13.0,,rail,318,,EMP27412,0.041,audit
TR000639,BANK01,2024-09-06,1325.1,,air_long,8834,,EMP20974,0.15,audit
TR000640,BANK01,2024-02-09,43.6,,car,255,,EMP46820,0.171,training
TR000641,BANK01,2024-07-17,125.5,,car,734,,EMP22166,0.171,internal_meeting
TR000642,BANK01,2024-02-26,220.3,,air_short,864,,EMP12871,0.255,conference
TR000643,BANK01,2024-06-29,134.9,,car,789,,EMP02558,0.171,audit
TR000644,BANK01,2024-01-08,390.6,,air_long,2604,,EMP20245,0.15,conference
TR000645,BANK01,2024-08-14,535.9,,air_long,3573,,EMP21762,0.15,conference
TR000646,BANK01,2024-12-23,277.9,,air_short,1090,,EMP40270,0.255,conference
TR000647,BANK01,2024-03-05,1260.1,,air_long,8401,,EMP41362,0.15,training
